abbr,canonical_major_id,year,has_thpt,has_base
PTIT,Cong nghe thong tin,2021,True,True
PTIT,Cong nghe thong tin,2022,True,True
PTIT,Cong nghe thong tin,2023,True,True
PTIT,Cong nghe thong tin,2024,True,True
PTIT,Cong nghe thong tin,2025,True,True
PTIT,Khoa hoc may tinh,2022,True,True
PTIT,Khoa hoc may tinh,2023,True,True
PTIT,Khoa hoc may tinh,2024,True,True
PTIT,Khoa hoc may tinh,2025,True,True
PTIT,Mang may tinh,2023,True,True
PTIT,Mang may tinh,2024,True,True
PTIT,Mang may tinh,2025,True,True
PTIT,Tri tue nhan tao,2025,True,True
TLU,An toan thong tin / An ninh mang,2022,True,True
TLU,An toan thong tin / An ninh mang,2023,True,True
TLU,An toan thong tin / An ninh mang,2024,True,True
TLU,An toan thong tin / An ninh mang,2025,True,True
TLU,Cong nghe thong tin,2021,True,True
TLU,Cong nghe thong tin,2022,True,True
TLU,Cong nghe thong tin,2023,True,True
TLU,Cong nghe thong tin,2024,True,True
TLU,Cong nghe thong tin,2025,True,True
TLU,He thong thong tin,2021,True,True
TLU,He thong thong tin,2022,True,True
TLU,He thong thong tin,2023,True,True
TLU,He thong thong tin,2024,True,True
TLU,He thong thong tin,2025,True,True
TLU,Ky thuat phan mem,2021,True,True
TLU,Ky thuat phan mem,2022,True,True
TLU,Ky thuat phan mem,2023,True,True
TLU,Ky thuat phan mem,2024,True,True
TLU,Ky thuat phan mem,2025,True,True
TLU,TTNT & Khoa hoc du lieu,2021,True,True
TLU,TTNT & Khoa hoc du lieu,2022,True,True
TLU,TTNT & Khoa hoc du lieu,2023,True,True
TLU,TTNT & Khoa hoc du lieu,2024,True,True
TLU,TTNT & Khoa hoc du lieu,2025,True,True
UET,Cong nghe thong tin,2019,True,True
UET,Cong nghe thong tin,2020,True,True
UET,Cong nghe thong tin,2021,True,True
UET,Cong nghe thong tin,2022,True,True
UET,Cong nghe thong tin,2023,True,True
UET,Cong nghe thong tin,2024,True,True
UET,Cong nghe thong tin,2025,True,True
UET,He thong thong tin,2022,True,True
UET,He thong thong tin,2023,True,True
UET,He thong thong tin,2024,True,True
UET,He thong thong tin,2025,True,True
UET,Khoa hoc du lieu,2025,True,True
UET,Khoa hoc may tinh,2022,True,True
UET,Khoa hoc may tinh,2023,True,True
UET,Khoa hoc may tinh,2024,True,True
UET,Khoa hoc may tinh,2025,True,True
UET,Ky thuat may tinh,2019,True,True
UET,Ky thuat may tinh,2020,True,True
UET,Ky thuat may tinh,2021,True,True
UET,Ky thuat may tinh,2022,True,True
UET,Ky thuat may tinh,2023,True,True
UET,Ky thuat may tinh,2024,True,True
UET,Ky thuat may tinh,2025,True,True
UET,Mang may tinh,2022,True,True
UET,Mang may tinh,2023,True,True
UET,Mang may tinh,2024,True,True
UET,Mang may tinh,2025,True,True
UET,Tri tue nhan tao,2022,True,True
UET,Tri tue nhan tao,2023,True,True
UET,Tri tue nhan tao,2024,True,True
UET,Tri tue nhan tao,2025,True,True
UTC,Cong nghe thong tin,2019,True,True
UTC,Cong nghe thong tin,2020,True,True
UTC,Cong nghe thong tin,2021,True,True
UTC,Cong nghe thong tin,2022,True,True
UTC,Cong nghe thong tin,2023,True,True
UTC,Cong nghe thong tin,2024,True,True
UTC,Cong nghe thong tin,2025,True,True
UTC,Khoa hoc may tinh,2022,True,True
UTC,Khoa hoc may tinh,2023,True,True
UTC,Khoa hoc may tinh,2024,True,True
UTC,Khoa hoc may tinh,2025,True,True
UTC,Ky thuat may tinh,2024,True,True
UTC,Ky thuat may tinh,2025,True,True
